session_id,condition_id,participant_id,seq,original_type,t_q_send_ref_ms,t_b_recv_ms,t_b_pub_ms,t_r_recv_ms
S01,C1,P01,144,cmd,1776951583104.032,1776951583112.23,1776951583114.31,1776951583118.879
S01,C1,P01,145,cmd,1776951583158.97,1776951583169.991,1776951583170.92,1776951583177.921
S01,C1,P01,146,cmd,1776951583215.001,1776951583218.362,1776951583219.889,1776951583220.746
S01,C1,P01,147,cmd,1776951583270.052,1776951583281.508,1776951583282.763,1776951583287.769
S01,C1,P01,148,cmd,1776951583326.052,1776951583333.186,1776951583334.081,1776951583337.93
S01,C1,P01,149,cmd,1776951583382.047,1776951583386.282,1776951583386.93,1776951583390.413
S01,C1,P01,150,cmd,1776951583436.948,1776951583439.497,1776951583440.602,1776951583440.703
S01,C1,P01,151,cmd,1776951583493.014,1776951583497.572,1776951583498.4,1776951583500.064
S01,C1,P01,152,cmd,1776951583548.037,1776951583552.315,1776951583553.38,1776951583557.52
S01,C1,P01,153,cmd,1776951583604.068,1776951583608.461,1776951583610.437,1776951583611.835
S01,C1,P01,154,cmd,1776951583658.926,1776951583660.804,1776951583662.192,1776951583662.547
S01,C1,P01,155,cmd,1776951583715.054,1776951583724.143,1776951583725.2,1776951583727.508
S01,C1,P01,156,cmd,1776951583770.062,1776951583771.902,1776951583772.696,1776951583773.682
S01,C1,P01,157,cmd,1776951583826.037,1776951583831.39,1776951583833.266,1776951583834.062
S01,C1,P01,159,cmd,1776951583881.026,1776951583882.867,1776951583884.477,1776951583884.647
S01,C1,P01,160,cmd,1776951583935.943,1776951583937.783,1776951583938.656,1776951583940.608
S01,C1,P01,161,cmd,1776951583991.022,1776951583999.038,1776951584000.45,1776951584002.746
S01,C1,P01,162,cmd,1776951584047.04,1776951584049.71,1776951584050.59,1776951584050.66
S01,C1,P01,163,cmd,1776951584102.057,1776951584109.458,1776951584110.447,1776951584114.978
S01,C1,P01,164,cmd,1776951584157.974,1776951584164.109,1776951584165.152,1776951584166.598
S01,C1,P01,165,cmd,1776951584212.998,1776951584215.238,1776951584216.496,1776951584216.618
S01,C1,P01,166,cmd,1776951584268.994,1776951584273.173,1776951584274.596,1776951584276.696
S01,C1,P01,167,cmd,1776951584323.964,1776951584328.934,1776951584330.85,1776951584333.365
S01,C1,P01,168,cmd,1776951584379.96,1776951584381.8,1776951584383.259,1776951584383.654
S01,C1,P01,169,cmd,1776951584435.024,1776951584437.694,1776951584438.573,1776951584438.644
S01,C1,P01,170,cmd,1776951584491.039,1776951584496.68,1776951584498.788,1776951584500.104
S01,C1,P01,171,cmd,1776951584547.043,1776951584555.439,1776951584556.702,1776951584561.384
S01,C1,P01,172,cmd,1776951584602.002,1776951584604.672,1776951584605.552,1776951584605.622
S01,C1,P01,173,cmd,1776951584658.005,1776951584664.053,1776951584665.059,1776951584668.992
S01,C1,P01,174,cmd,1776951584713.012,1776951584715.376,1776951584716.524,1776951584716.631
S01,C1,P01,175,cmd,1776951584767.984,1776951584773.703,1776951584775.092,1776951584778.572
S01,C1,P01,176,cmd,1776951584823.998,1776951584825.838,1776951584826.795,1776951584827.618
S01,C1,P01,177,cmd,1776951584879.966,1776951584886.088,1776951584887.021,1776951584889.255
S01,C1,P01,178,cmd,1776951584934.956,1776951584939.722,1776951584940.791,1776951584941.724
S01,C1,P01,179,cmd,1776951584990.979,1776951584992.995,1776951584994.45,1776951584994.599
S01,C1,P01,180,cmd,1776951585046.994,1776951585049.188,1776951585050.487,1776951585050.614
S01,C1,P01,181,cmd,1776951585101.956,1776951585108.561,1776951585109.502,1776951585113.203
S01,C1,P01,182,cmd,1776951585158.01,1776951585169.238,1776951585170.201,1776951585176.791
S01,C1,P01,183,cmd,1776951585213.012,1776951585214.852,1776951585216.042,1776951585216.632
S01,C1,P01,184,cmd,1776951585268.924,1776951585271.702,1776951585272.582,1776951585272.652
S01,C1,P01,185,cmd,1776951585323.997,1776951585326.497,1776951585327.526,1776951585327.617
S01,C1,P01,186,cmd,1776951585380.007,1776951585382.142,1776951585383.13,1776951585383.64
S01,C1,P01,187,cmd,1776951585434.931,1776951585439.851,1776951585441.534,1776951585443.61
S01,C1,P01,188,cmd,1776951585491.004,1776951585496.874,1776951585498.202,1776951585500.032
S01,C1,P01,189,cmd,1776951585547.036,1776951585551.807,1776951585552.996,1776951585553.731
S01,C1,P01,190,cmd,1776951585602.034,1776951585607.912,1776951585608.755,1776951585612.318
S01,C1,P01,191,cmd,1776951585656.949,1776951585662.34,1776951585663.409,1776951585665.821
S01,C1,P01,192,cmd,1776951585713.95,1776951585724.37,1776951585725.476,1776951585732.115
S01,C1,P01,193,cmd,1776951585768.052,1776951585773.938,1776951585775.03,1776951585779.95
S01,C1,P01,194,cmd,1776951585823.973,1776951585826.643,1776951585827.522,1776951585827.593
S01,C1,P01,196,cmd,1776951585881.054,1776951585883.724,1776951585884.569,1776951585884.674
S01,C1,P01,197,cmd,1776951585933.946,1776951585939.312,1776951585940.119,1776951585943.169
S01,C1,P01,198,cmd,1776951585990.058,1776951585992.728,1776951585993.608,1776951585993.678
S01,C1,P01,199,cmd,1776951586045.024,1776951586050.129,1776951586051.162,1776951586054.489
S01,C1,P01,200,cmd,1776951586100.974,1776951586103.605,1776951586104.328,1776951586105.609
S01,C1,P01,201,cmd,1776951586157.047,1776951586158.888,1776951586160.498,1776951586160.668
S01,C1,P01,202,cmd,1776951586211.97,1776951586227.202,1776951586228.382,1776951586238.374
S01,C1,P01,203,cmd,1776951586267.025,1776951586270.208,1776951586271.088,1776951586271.158
S01,C1,P01,204,cmd,1776951586322.982,1776951586327.634,1776951586328.555,1776951586330.948
S01,C1,P01,205,cmd,1776951586379.016,1776951586381.486,1776951586382.541,1776951586382.636
S01,C1,P01,206,cmd,1776951586434.018,1776951586438.832,1776951586440.666,1776951586440.942
S01,C1,P01,207,cmd,1776951586489.97,1776951586493.631,1776951586494.918,1776951586498.416
S01,C1,P01,208,cmd,1776951586545.076,1776951586546.916,1776951586547.77,1776951586551.392
S01,C1,P01,209,cmd,1776951586601.052,1776951586606.146,1776951586607.398,1776951586609.349
S01,C1,P01,210,cmd,1776951586656.017,1776951586663.982,1776951586665.054,1776951586668.356
S01,C1,P01,211,cmd,1776951586711.925,1776951586714.268,1776951586715.668,1776951586717.682
S01,C1,P01,212,cmd,1776951586766.972,1776951586771.814,1776951586773.019,1776951586774.215
S01,C1,P01,213,cmd,1776951586823.028,1776951586827.971,1776951586829.001,1776951586834.07
S01,C1,P01,214,cmd,1776951586878.949,1776951586880.789,1776951586881.9,1776951586882.569
S01,C1,P01,215,cmd,1776951586935.024,1776951586944.08,1776951586945.514,1776951586947.204
S01,C1,P01,216,cmd,1776951586990.023,1776951586993.552,1776951586995.228,1776951586995.943
S01,C1,P01,217,cmd,1776951587045.065,1776951587051.362,1776951587052.854,1776951587055.25
S01,C1,P01,218,cmd,1776951587100.958,1776951587103.704,1776951587105.159,1776951587106.884
S01,C1,P01,219,cmd,1776951587156.979,1776951587159.078,1776951587159.857,1776951587160.599
S01,C1,P01,220,cmd,1776951587211.958,1776951587221.891,1776951587223.076,1776951587226.901
S01,C1,P01,221,cmd,1776951587267.042,1776951587275.45,1776951587276.938,1776951587282.031
S01,C1,P01,222,cmd,1776951587323.019,1776951587325.322,1776951587325.814,1776951587327.167
S01,C1,P01,223,cmd,1776951587379.019,1776951587382.842,1776951587384.517,1776951587385.53
S01,C1,P01,224,cmd,1776951587434.932,1776951587437.602,1776951587438.482,1776951587438.552
S01,C1,P01,225,cmd,1776951587489.943,1776951587493.776,1776951587495.042,1776951587497.223
S01,C1,P01,226,cmd,1776951587544.972,1776951587549.635,1776951587550.569,1776951587553.145
S01,C1,P01,227,cmd,1776951587601.062,1776951587609.624,1776951587611.412,1776951587615.81
